query-id	corpus-id	score
1	doc1	1
1	doc2014	1
1	doc3007	1
2	doc2	1
2	doc2015	1
2	doc3008	1
3	doc3	1
3	doc2016	1
3	doc3009	1
4	doc4	1
4	doc2017	1
4	doc3010	1
5	doc5	1
5	doc2018	1
5	doc3011	1
6	doc6	1
6	doc2019	1
6	doc3012	1
7	doc7	1
7	doc2020	1
7	doc3013	1
8	doc8	1
8	doc2021	1
8	doc3014	1
9	doc9	1
9	doc2022	1
9	doc3015	1
10	doc10	1
10	doc2023	1
10	doc3016	1
11	doc11	1
11	doc2024	1
11	doc3017	1
12	doc12	1
12	doc2025	1
12	doc3018	1
13	doc13	1
13	doc2026	1
13	doc3019	1
14	doc14	1
14	doc2027	1
14	doc3020	1
15	doc15	1
15	doc2028	1
15	doc3021	1
16	doc16	1
16	doc2029	1
16	doc3022	1
17	doc17	1
17	doc2030	1
17	doc3023	1
18	doc18	1
18	doc2031	1
18	doc3024	1
19	doc19	1
19	doc2032	1
19	doc3025	1
20	doc20	1
20	doc2033	1
20	doc3026	1
21	doc21	1
21	doc2034	1
21	doc3027	1
22	doc22	1
22	doc2035	1
22	doc3028	1
23	doc23	1
23	doc2036	1
23	doc3029	1
24	doc24	1
24	doc2037	1
24	doc3030	1
25	doc25	1
25	doc2038	1
25	doc3031	1
26	doc26	1
26	doc2039	1
26	doc3032	1
27	doc27	1
27	doc2040	1
27	doc3033	1
28	doc28	1
28	doc2041	1
28	doc3034	1
29	doc29	1
29	doc2042	1
29	doc3035	1
30	doc30	1
30	doc2043	1
30	doc3036	1
31	doc31	1
31	doc2044	1
31	doc3037	1
32	doc32	1
32	doc2045	1
32	doc3038	1
33	doc33	1
33	doc2046	1
33	doc3039	1
34	doc34	1
34	doc2047	1
34	doc3040	1
35	doc35	1
35	doc2048	1
35	doc3041	1
36	doc36	1
36	doc2049	1
36	doc3042	1
37	doc37	1
37	doc2050	1
37	doc3043	1
38	doc38	1
38	doc2051	1
38	doc3044	1
39	doc39	1
39	doc2052	1
